name,homepage,why_not
The Abaya Company London,https://theabayacompany.london,"Photography fails this round's bar: the model's face is smeared out in the featured image on roughly 3 of 5 products sampled, 190 of 234 featured images are square 1:1 phone crops, and widths range from 622px to 4485px with .heic files mixed in — a grid of these would be headless torsos and blurred faces at wildly inconsistent scale."
Azba London,https://azba.co.uk,"A gold 'AZBA' logo watermark is burned into the centre of the featured image on 4 of the 5 products I sampled, so it would be visible on nearly every card in the grid — the brief names watermarks as a disqualifier."
LIBAAZ THE LABEL,https://libaazthelabel.ca,"Photography fails the priority bar this round: 24% of images are under 1200px wide and only 62% of products are portrait-dominant (worst of all eleven), so the grid will read ragged — the scout's ""highest resolution in the whole scout"" claim is a cherry-picked outlier, not the distribution."
Dana Fashion,https://danafashion.ca,"61% of its images are under 1200px wide (median width ~1000px), which is competent commercial e-comm rather than the editorial photography this round is selecting for — the scout itself graded it ""a solid B rather than an A""."
Sew Elevated,https://sewelevated.com,"Lowest-resolution catalogue in the batch alongside Covered Bliss — 66% of images under 1200px wide, ZERO at 2000px+, max 1650px — combined with no evidence of international shipping at all."
Covered Bliss,https://coveredbliss.com,"Worst photography of the eleven (93% of images under 1200px wide) AND the feed contains dropshipped stock — 5 SKUs ship from Trendsi, a dropship supplier platform — which is an explicit disqualifier under the editorial rules."
Eleysa Design,https://www.eleysadesign.com,"Wix, not Shopify — there is no ingestible product feed, and the store is effectively dormant: its sitemap holds only 16 products, 15 of them untouched since 2024-07-15."
LIA,https://liathebrand.de,Product photography is AI-generated and phone-snapshot material — the first product's images are literally named ChatGPT_Image_*.png and the bundle SKUs are WhatsApp forwards of gift boxes on a carpet.
Meriem Lebdiri,https://meriemlebdiri.com,"The catalogue imagery is overwhelmingly AI-generated — 16 of 24 sampled images are Kive.ai generations whose filenames still carry the generation prompts, and 7 of the remaining 8 are macOS screenshots."
House of Mästore,https://www.houseofmastore.com,"Fails the photography bar outright — I measured the whole catalogue, not a sample: of 263 first-images, 100 (38%) are `rn-image_picker_lib_temp_*` React Native camera-roll temp files, 74 (28%) are `Tezza_*` phone-app exports, 46 (17%) are `Screenshot-*`, 20 (8%) are raw `IMG_xxxx`, and 112 (43%) are exactly 1080x2340 — a phone screen aspect ratio, not a camera crop. 36 of 442 images (8%) are under 800px wide, the worst of any candidate. The brief called this 'good but mixed, all original brand imagery, no selfies'; the file provenance says otherwise. Shipping and feed are both fine, so revisit if they reshoot, but as it stands it is phone-shot content and would visibly drag the grid down."
Damorire,https://damorireshop.com,"Not a modest-fashion brand — it is a Spanish occasion-accessories label. I pulled all 69 rows: 21 are handbags (bolso piel asa aro, capazo borlones, bolso Tote, bolso fallero), 8 are earrings (PENDIENTES FLOR/SEDA/MADROÑOS), and 16 are Valencian fallera trim — silk cords and tassels (CORDÓN SEDA, CORDÓN MADROÑOS, FLECO DISCOS, CORDON FLECOS). That is 45 of 69 rows non-apparel, i.e. 65% of the catalogue would be vetoed on ingest. The remaining ~24 kaftans and kimonos are resort/occasion pieces, not modest-positioned, and the brief itself flags open-front and thigh-slit styles needing per-item review. Also worth correcting: the Woo feed returns minor units, so 'KIMONO KIRS ROYAL 57500' is €575 and 'bolso 4000' is €40 — the price range is €20–€575, not the luxury tier implied. Net publishable rows after exclusions would be a handful of off-brief kaftans."
Al Moultazimoun,https://www.almoultazimoun.com,"No ingestible product feed. I fingerprinted the homepage (302 KB, title ""Vêtement musulman & mode islamique"") and it is PrestaShop — the markup contains `var prestashop` — which exposes no JSON product endpoint. Every feed path returns the HTML 404 page. The site is real and the brand may well be good, but the entire pipeline is built on Shopify /products.json (plus, now, Woo REST for Aneesa); onboarding this would require writing and maintaining a bespoke HTML scraper against a PrestaShop theme, and the brief's own caveat adds men's and children's fragrance rows to exclude on top. Not worth it this round."
Neyssa,https://neyssa-shop.com,"No ingestible product feed — same failure as Al Moultazimoun. Homepage fingerprints as PrestaShop (`var prestashop` present, plus the PrestaShop lgcookieslaw module), 794 KB, title ""Neyssa Shop : Boutique musulmane de vêtements musulman, hijab, abaya, burkini pour la femme voilée"". All five feed endpoints 404. Would need a bespoke HTML scraper, and per the brief the catalogue also spans men's qamis and children's, so it would need ongoing gender filtering — exactly the failure mode logged in §10.4. Reject for this round; reconsider only if they migrate to Shopify."
Hessa Falasi,https://hessafalasi.com,"Photography fails the round's priority criterion: 331 of 332 catalogue images are AI-generated (filenames ChatGPTImage*.png, native 1024x1536 GPT-Image dimensions, visually confirmed synthetic model and malformed footwear) — these are renders, not photographs of the actual garments."
Fatma Atasoy,https://fatmaatasoy.com,"International orders explicitly cannot be placed on the site (brand's own words) — an outbound affiliate click from the EU/UK audience cannot convert, so the referral is worthless despite a working feed and strong photography."
HE-QA,https://www.he-qa.com,"No machine-readable product feed: /products.json and /wp-json/wc/store/v1/products both return 428KB of HTML with content-type text/html (classic soft-404), on both www.he-qa.com and he-qa.com — the store runs on T-Soft, not Shopify or WooCommerce, so the pipeline cannot ingest it."
Kayra,https://www.kayra.com,"No machine-readable product feed: /products.json returns 351KB of HTML (content-type text/html) and /wp-json/wc/store/v1/products returns the same page — both soft-404s on a custom platform, so the pipeline cannot ingest it."
SETRMS,https://www.setrms.com,"No product feed at all: /products.json returns a hard HTTP 404 and /wp-json/wc/store/v1/products also 404s, so there is neither a Shopify nor a WooCommerce ingestion route."
Lemaye,https://lemaye.com,"No product feed: /products.json returns HTTP 404 and /wp-json/wc/store/v1/products also 404s — the store is a bespoke Next.js application (__NEXT_DATA__ present in the markup), so there is no standard ingestion route."
Marina,https://marinamayo.com,"Not primarily a women's modest apparel brand — 142 of 250 rows are accessories (85 hats, 35 beach bags, 15 swim caps, 7 towels) and it carries explicit men's and children's lines, plus aggressive BOGO discounting and no evidence of international webshop delivery."
KAMI. (Kami Idea),https://kamiidea.com,"Lowest verified image resolution in the entire batch (1005x1345, confirmed by download) on a site that renders raw <img> with no next/image, so cards would visibly soften — and its own dedicated delivery page offers Indonesian zones only, so a UK/EU/US reader cannot buy. Weakest photography plus no reachable shipping is not worth the owner's time."
MERRACHI,https://merrachi.com,ALREADY IN CATALOGUE — dropped by the duplicate check
Losyana,https://www.losyana.nl,ALREADY IN CATALOGUE — dropped by the duplicate check
Manzaram,https://www.manzaram.nl,ALREADY IN CATALOGUE — dropped by the duplicate check
Maison Hijab,https://maisonhijab.com,ALREADY IN CATALOGUE — dropped by the duplicate check
LES the Brand (LES ATELIER),https://les-atelier.com,ALREADY IN CATALOGUE — dropped by the duplicate check
Chic & Modesty,https://chicandmodesty.com,ALREADY IN CATALOGUE — dropped by the duplicate check
ABYYA,https://abyya.be,ALREADY IN CATALOGUE — dropped by the duplicate check
